Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
108,8621688	215,9	213	Tyson Chandler	New York Knicks	105	2012
104,3262451	210,82	210	Joakim Noah	Chicago Bulls	100	2012
99,7903214	205,74	204	Paul George	Indiana Pacers	95	2012
99,7903214	205,74	204	Luol Deng	Chicago Bulls	95	2012
92,98643585	193,04	192	Jrue Holiday	Philadelphia Sixers	90	2012
87,54332741	190,5	189	Kyrie Irving	Cleveland Cavaliers	85	2012
121,56275516	213,36	213	Brook Lopez	Brooklyn Nets	120	2012
86,1825503	190,5	189	Derrick Rose	Chicago Bulls	85	2011
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2011
113,3980925	203,2	201	LeBron James	Miami Heat	110	2011
108,8621688	203,2	201	Carmelo Anthony	New York Knicks	105	2011
120,20197805	210,82	210	Dwight Howard	Orlando Magic	120	2011
106,59420695	210,82	210	Chris Bosh	Miami Heat	105	2011
122,4699399	218,44	216	Roy Hibbert	Indiana Pacers	120	2011
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2011
90,718474	190,5	189	Deron Williams	New Jersey Nets	90	2011
99,7903214	205,74	204	Luol Deng	Chicago Bulls	95	2011
97,52235955	198,12	198	Andre Iguodala	Philadelphia Sixers	95	2011
108,8621688	200,66	198	Joe Johnson	Atlanta Hawks	105	2011
84,36818082	185,42	183	Rajon Rondo	Boston Celtics	80	2011
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2011
79,37866475	182,88	180	Chris Paul	Los Angeles Clippers	75	2011
108,8621688	205,74	204	Kevin Durant	Oklahoma City Thunder	105	2011
113,85168487	208,28	207	Blake Griffin	Los Angeles Clippers	110	2011
129,27382545	213,36	213	Andrew Bynum	Los Angeles Lakers	125	2011
113,85168487	208,28	207	Kevin Love	Minnesota Timberwolves	110	2011
108,8621688	210,82	210	LaMarcus Aldridge	Portland Trail Blazers	105	2011
90,718474	190,5	189	Russell Westbrook	Oklahoma City Thunder	90	2011
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2011
83,91458845	187,96	186	Tony Parker	San Antonio Spurs	80	2011
80,73944186	190,5	189	Steve Nash	Phoenix Suns	80	2011
115,66605435	215,9	213	Marc Gasol	Memphis Grizzlies	115	2011
108,8621688	203,2	201	Carmelo Anthony	Denver Nuggets	105	2010
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2010
108,8621688	205,74	204	Kevin Durant	Oklahoma City Thunder	105	2010
79,37866475	182,88	180	Chris Paul	New Orleans Hornets	75	2010
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2010
92,98643585	198,12	198	Manu Ginobili	San Antonio Spurs	90	2010
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2010
113,3980925	213,36	213	Pau Gasol	Los Angeles Lakers	110	2010
90,718474	190,5	189	Deron Williams	Utah Jazz	90	2010
90,718474	190,5	189	Russell Westbrook	Oklahoma City Thunder	90	2010
113,85168487	208,28	207	Blake Griffin	Los Angeles Clippers	110	2010
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2010
113,85168487	208,28	207	Kevin Love	Minnesota Timberwolves	110	2010
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2010
111,13013065	208,28	207	Amar'e Stoudemire	New York Knicks	110	2010
120,20197805	210,82	210	Dwight Howard	Orlando Magic	120	2010
113,3980925	203,2	201	LeBron James	Miami Heat	110	2010
86,1825503	190,5	189	Derrick Rose	Chicago Bulls	85	2010
108,8621688	210,82	210	Kevin Garnett	Boston Celtics	105	2010
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2010
84,36818082	185,42	183	Rajon Rondo	Boston Celtics	80	2010
92,98643585	195,58	195	Ray Allen	Boston Celtics	90	2010
111,13013065	208,28	207	Al Horford	Atlanta Hawks	110	2010
108,8621688	200,66	198	Joe Johnson	Atlanta Hawks	105	2010
106,59420695	210,82	210	Chris Bosh	Miami Heat	105	2010
90,718474	190,5	189	Deron Williams	Utah Jazz	90	2009
79,37866475	182,88	180	Chris Paul	New Orleans Hornets	75	2009
113,3980925	213,36	213	Pau Gasol	Los Angeles Lakers	110	2009
108,8621688	205,74	204	Kevin Durant	Oklahoma City Thunder	105	2009
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2009
117,9340162	205,74	204	Zach Randolph	Memphis Grizzlies	115	2009
95,70799007	198,12	198	Brandon Roy	Portland Trail Blazers	95	2009
80,73944186	190,5	189	Steve Nash	Phoenix Suns	80	2009
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2009
111,13013065	208,28	207	Amar'e Stoudemire	Phoenix Suns	110	2009
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2009
108,8621688	203,2	201	Carmelo Anthony	Denver Nuggets	105	2009
95,2543977	190,5	189	Chauncey Billups	Denver Nuggets	95	2009
120,20197805	213,36	213	Chris Kaman	Los Angeles Clippers	120	2009
95,2543977	193,04	192	Jason Kidd	Dallas Mavericks	95	2009
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2009
108,8621688	210,82	210	Kevin Garnett	Boston Celtics	105	2009
74,84274105	182,88	180	Allen Iverson	Philadelphia Sixers	70	2009
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2009
120,20197805	210,82	210	Dwight Howard	Orlando Magic	120	2009
84,36818082	185,42	183	Rajon Rondo	Boston Celtics	80	2009
86,1825503	190,5	189	Derrick Rose	Chicago Bulls	85	2009
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2009
106,59420695	210,82	210	Chris Bosh	Toronto Raptors	105	2009
99,7903214	200,66	198	Gerald Wallace	Charlotte Bobcats	95	2009
108,8621688	200,66	198	Joe Johnson	Atlanta Hawks	105	2009
111,13013065	208,28	207	Al Horford	Atlanta Hawks	110	2009
111,13013065	205,74	204	David Lee	New York Knicks	110	2009
95,2543977	190,5	189	Chauncey Billups	Denver Nuggets	95	2008
113,3980925	213,36	213	Pau Gasol	Los Angeles Lakers	110	2008
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2008
147,41752025	215,9	213	Shaquille O'Neal	Phoenix Suns	145	2008
83,91458845	187,96	186	Tony Parker	San Antonio Spurs	80	2008
95,70799007	198,12	198	Brandon Roy	Portland Trail Blazers	95	2008
113,3980925	205,74	204	David West	New Orleans Hornets	110	2008
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2008
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2008
79,37866475	182,88	180	Chris Paul	New Orleans Hornets	75	2008
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2008
111,13013065	208,28	207	Amar'e Stoudemire	Phoenix Suns	110	2008
108,8621688	210,82	210	Kevin Garnett	Boston Celtics	105	2008
120,20197805	210,82	210	Dwight Howard	Orlando Magic	120	2008
74,84274105	182,88	180	Allen Iverson	Detroit Pistons	70	2008
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2008
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2008
106,59420695	210,82	210	Chris Bosh	Toronto Raptors	105	2008
100,69750614	205,74	204	Danny Granger	Indiana Pacers	100	2008
83,91458845	190,5	189	Devin Harris	New Jersey Nets	80	2008
